season,league,team,strength_of_schedule,playoffs,corrected_team
2021,NBA,Chicago Bulls,-0.05,False,Chicago Bulls
2021,NBA,Charlotte Hornets,-0.01,False,Charlotte Hornets
2021,NBA,Cleveland Cavaliers,0.25,False,Cleveland Cavaliers
2021,NBA,Detroit Pistons,0.09,False,Detroit Pistons
2021,NBA,Golden State Warriors,0.04,False,Golden State Warriors
2021,NBA,Houston Rockets,0.4,False,Houston Rockets
2021,NBA,Indiana Pacers,-0.08,False,Indiana Pacers
2021,NBA,Minnesota Timberwolves,0.31,False,Minnesota Timberwolves
2021,NBA,New Orleans Pelicans,0.1,False,New Orleans Pelicans
2021,NBA,Oklahoma City Thunder,0.51,False,Oklahoma City Thunder
2021,NBA,Orlando Magic,0.29,False,Orlando Magic
2021,NBA,Sacramento Kings,0.23,False,Sacramento Kings
2021,NBA,San Antonio Spurs,0.15,False,San Antonio Spurs
2021,NBA,Toronto Raptors,-0.07,False,Toronto Raptors
2021,NBA,Utah Jazz,-0.29,False,Utah Jazz
2021,NBA,Los Angeles Clippers,-0.16,False,Los Angeles Clippers
2021,NBA,Phoenix Suns,-0.15,False,Phoenix Suns
2021,NBA,Milwaukee Bucks,-0.32,False,Milwaukee Bucks
2021,NBA,Philadelphia 76ers,-0.31,False,Philadelphia 76ers
2021,NBA,Denver Nuggets,-0.11,False,Denver Nuggets
2021,NBA,Brooklyn Nets,-0.27,False,Brooklyn Nets
2021,NBA,Los Angeles Lakers,-0.03,False,Los Angeles Lakers
2021,NBA,Dallas Mavericks,-0.01,False,Dallas Mavericks
2021,NBA,Atlanta Hawks,-0.18,False,Atlanta Hawks
2021,NBA,New York Knicks,-0.18,False,New York Knicks
2021,NBA,Portland Trail Blazers,0.01,False,Portland Trail Blazers
2021,NBA,Boston Celtics,-0.14,False,Boston Celtics
2021,NBA,Memphis Grizzlies,0.04,False,Memphis Grizzlies
2021,NBA,Miami Heat,-0.09,False,Miami Heat
2021,NBA,Washington Wizards,-0.01,False,Washington Wizards
2020,NBA,Atlanta Hawks,0.27,False,Atlanta Hawks
2020,NBA,Boston Celtics,-0.47,True,Boston Celtics
2020,NBA,Brooklyn Nets,-0.44,True,Brooklyn Nets
2020,NBA,Chicago Bulls,-0.93,False,Chicago Bulls
2020,NBA,Charlotte Hornets,-0.28,False,Charlotte Hornets
2020,NBA,Cleveland Cavaliers,0.12,False,Cleveland Cavaliers
2020,NBA,Dallas Mavericks,-0.07,True,Dallas Mavericks
2020,NBA,Denver Nuggets,0.24,True,Denver Nuggets
2020,NBA,Detroit Pistons,-0.82,False,Detroit Pistons
2020,NBA,Golden State Warriors,0.59,False,Golden State Warriors
2020,NBA,Houston Rockets,0.17,True,Houston Rockets
2020,NBA,Indiana Pacers,-0.33,True,Indiana Pacers
2020,NBA,Los Angeles Clippers,0.21,True,Los Angeles Clippers
2020,NBA,Los Angeles Lakers,0.49,True,Los Angeles Lakers
2020,NBA,Memphis Grizzlies,0.16,False,Memphis Grizzlies
2020,NBA,Miami Heat,-0.35,True,Miami Heat
2020,NBA,Milwaukee Bucks,-0.67,True,Milwaukee Bucks
2020,NBA,Minnesota Timberwolves,0.28,False,Minnesota Timberwolves
2020,NBA,New Orleans Pelicans,0.74,False,New Orleans Pelicans
2020,NBA,New York Knicks,-0.26,False,New York Knicks
